Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
513,5.78E-19,0.170276965,0.272430864,1,1
514,0,0.16738154,0.270803739,1,1
515,-3.47E-18,0.16822589,0.272527998,1,1
516,2.89E-18,0.169897948,0.27233392,1,1
517,5.78E-19,0.170463919,0.275564752,1,1
518,4.05E-18,0.168126731,0.272220641,1,1
519,2.31E-18,0.166222662,0.27088067,1,1
520,0,0.163773397,0.26809719,1,1
521,-1.16E-18,0.163754336,0.269700986,1,1
522,2.89E-18,0.163720072,0.270055282,1,1
523,3.47E-18,0.163433234,0.268467124,1,1
524,-5.78E-19,0.163570312,0.268924868,1,1
525,5.78E-19,0.16126739,0.266377863,1,1
526,-2.89E-18,0.162408792,0.268789262,1,1
527,0,0.163188686,0.267676662,1,1
528,0,0.162746184,0.262647935,1,1
529,-4.63E-18,0.163413297,0.262175535,1,1
530,5.78E-19,0.164233104,0.262904764,1,1
531,-5.78E-19,0.164308196,0.259858361,1,1
532,-2.31E-18,0.163676258,0.259606418,1,1
533,2.31E-18,0.163651426,0.258162677,1,1
534,-5.78E-19,0.1650357,0.258019151,1,1
535,-5.78E-19,0.163840463,0.252363867,1,1
536,1.73E-18,0.164339821,0.252511285,1,1
537,-1.16E-18,0.164480061,0.252856601,1,1
538,0,0.164234632,0.251502827,1,1
539,4.05E-18,0.165631884,0.252823093,1,1
540,-5.78E-19,0.159243939,0.258521033,1,1
541,1.73E-18,0.158711418,0.255160047,1,1
542,-1.73E-18,0.15871251,0.254449733,1,1
543,2.31E-18,0.158771437,0.253763071,1,1
544,5.78E-19,0.160623717,0.253617193,1,1
545,5.78E-19,0.16157594,0.254386592,1,1
546,2.31E-18,0.160961871,0.252758144,1,1
547,3.47E-18,0.170554095,0.230378761,1,1
548,1.73E-18,0.171038363,0.229769725,1,1
549,5.78E-19,0.171358529,0.228400165,1,1
550,1.73E-18,0.170889482,0.228449913,1,1
551,2.89E-18,0.170847895,0.222518993,1,1
552,1.73E-18,0.170370499,0.221584795,1,1
553,2.31E-18,0.17272072,0.222050234,1,1
